Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID
CHEMBL1215474,,0,306.41,0,3.19,2,Cc1[nH]c2ccccc2c1CN1CCN(c2ccccn2)CC1,IC50,'=',700,nM,6.16,,,UO_0000065,20.09,0.37,2.96,17.51,False,CHEMBL1219379,Inhibition of acidic mammalian chitinase after 60 mins,B,BAO_0000357,single protein format,None,None,None,None,None,CHEMBL1293197,Acidic mammalian chitinase,Homo sapiens,SINGLE PROTEIN,CHEMBL1212885,1,Scientific Literature,J. Med. Chem.,2010,None
CHEMBL1215473,,0,367.25,0,1.35,1,Nc1n[nH]c(N2CCN(CCOc3ccc(Br)cc3)CC2)n1,IC50,'=',210,nM,6.68,,,UO_0000065,18.18,0.41,5.33,8.02,False,CHEMBL1219379,Inhibition of acidic mammalian chitinase after 60 mins,B,BAO_0000357,single protein format,None,None,None,None,None,CHEMBL1293197,Acidic mammalian chitinase,Homo sapiens,SINGLE PROTEIN,CHEMBL1212885,1,Scientific Literature,J. Med. Chem.,2010,None
CHEMBL4091907,,0,340.48,0,2.41,7p,CN(CCc1ccc(C2CC2)cc1)C1CCN(c2nc(N)n[nH]2)CC1,IC50,'=',1545,nM,5.81,,,UO_0000065,17.07,0.32,3.4,7.85,False,CHEMBL4022939,"Inhibition of human recombinant full length C-terminal His-tagged acidic mammalian chitinase expressed in CHO-K1 cells using 4-methylumbelliferyl-beta-D-N,N'-diacetylchitobioside hydrate as substrate after 60 mins by fluorescence assay",B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,CHEMBL1293197,Acidic mammalian chitinase,Homo sapiens,SINGLE PROTEIN,CHEMBL4020821,1,Scientific Literature,J Med Chem,2018,None
CHEMBL2413400,,0,383.48,0,1.39,1,CN(C)c1ccc(/C=C(\NC(=O)c2ccccc2)C(=O)NNC(N)=S)cc1,IC50,'=',4000,nM,5.4,,,UO_0000065,14.08,0.27,4.01,5.43,False,CHEMBL2417154,Inhibition of His-tagged recombinant human acidic mammalian chitinase expressed in Escherichia coli Rosetta-gami 2 (DE3) using 4MU-(GlcNAc)2 as substrate assessed as production of 4-methylumbelliferone measured every 5 mins by fluorescence assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,CHEMBL1293197,Acidic mammalian chitinase,Homo sapiens,SINGLE PROTEIN,CHEMBL2412962,1,Scientific Literature,Bioorg. Med. Chem.,2013,None
CHEMBL4082060,,0,417,0,4.13,7h,Nc1n[nH]c(N2CCC(N(CCc3ccc(Cl)cc3)CC3CCCCC3)CC2)n1,IC50,'=',8.7,nM,8.06,,,UO_0000065,19.33,0.38,3.93,10.88,False,CHEMBL4022939,"Inhibition of human recombinant full length C-terminal His-tagged acidic mammalian chitinase expressed in CHO-K1 cells using 4-methylumbelliferyl-beta-D-N,N'-diacetylchitobioside hydrate as substrate after 60 mins by fluorescence assay",B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,CHEMBL1293197,Acidic mammalian chitinase,Homo sapiens,SINGLE PROTEIN,CHEMBL4020821,1,Scientific Literature,J Med Chem,2018,None
CHEMBL4065553,,0,334.86,0,2.18,7b,CN(CCc1ccc(Cl)cc1)C1CCN(c2nc(N)n[nH]2)CC1,IC50,'=',660,nM,6.18,,,UO_0000065,18.46,0.37,4,8.34,False,CHEMBL4022939,"Inhibition of human recombinant full length C-terminal His-tagged acidic mammalian chitinase expressed in CHO-K1 cells using 4-methylumbelliferyl-beta-D-N,N'-diacetylchitobioside hydrate as substrate after 60 mins by fluorescence assay",B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,CHEMBL1293197,Acidic mammalian chitinase,Homo sapiens,SINGLE PROTEIN,CHEMBL4020821,1,Scientific Literature,J Med Chem,2018,None
CHEMBL4071081,,0,342.49,0,2.65,7o,CC(C)c1ccc(CCN(C)C2CCN(c3nc(N)n[nH]3)CC2)cc1,IC50,'=',4137,nM,5.38,,,UO_0000065,15.72,0.29,2.73,7.27,False,CHEMBL4022939,"Inhibition of human recombinant full length C-terminal His-tagged acidic mammalian chitinase expressed in CHO-K1 cells using 4-methylumbelliferyl-beta-D-N,N'-diacetylchitobioside hydrate as substrate after 60 mins by fluorescence assay",B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,CHEMBL1293197,Acidic mammalian chitinase,Homo sapiens,SINGLE PROTEIN,CHEMBL4020821,1,Scientific Literature,J Med Chem,2018,None
CHEMBL4076989,,0,376.94,0,3.21,7f,CC(C)CN(CCc1ccc(Cl)cc1)C1CCN(c2nc(N)n[nH]2)CC1,IC50,'=',14.2,nM,7.85,,,UO_0000065,20.82,0.41,4.64,10.59,False,CHEMBL4022939,"Inhibition of human recombinant full length C-terminal His-tagged acidic mammalian chitinase expressed in CHO-K1 cells using 4-methylumbelliferyl-beta-D-N,N'-diacetylchitobioside hydrate as substrate after 60 mins by fluorescence assay",B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,CHEMBL1293197,Acidic mammalian chitinase,Homo sapiens,SINGLE PROTEIN,CHEMBL4020821,1,Scientific Literature,J Med Chem,2018,None
CHEMBL4072036,,0,348.88,0,2.57,7c,CCN(CCc1ccc(Cl)cc1)C1CCN(c2nc(N)n[nH]2)CC1,IC50,'=',182,nM,6.74,,,UO_0000065,19.32,0.38,4.17,9.1,False,CHEMBL4022939,"Inhibition of human recombinant full length C-terminal His-tagged acidic mammalian chitinase expressed in CHO-K1 cells using 4-methylumbelliferyl-beta-D-N,N'-diacetylchitobioside hydrate as substrate after 60 mins by fluorescence assay",B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,CHEMBL1293197,Acidic mammalian chitinase,Homo sapiens,SINGLE PROTEIN,CHEMBL4020821,1,Scientific Literature,J Med Chem,2018,None
CHEMBL4084573,,0,461.01,0,4.91,7k,Nc1n[nH]c(N2CCC(N(CCc3ccc(Cl)cc3)Cc3cccc4ccccc34)CC2)n1,IC50,'=',3.4,nM,8.47,,,UO_0000065,18.37,0.35,3.56,11.43,False,CHEMBL4022939,"Inhibition of human recombinant full length C-terminal His-tagged acidic mammalian chitinase expressed in CHO-K1 cells using 4-methylumbelliferyl-beta-D-N,N'-diacetylchitobioside hydrate as substrate after 60 mins by fluorescence assay",B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,CHEMBL1293197,Acidic mammalian chitinase,Homo sapiens,SINGLE PROTEIN,CHEMBL4020821,1,Scientific Literature,J Med Chem,2018,None
CHEMBL4103842,,0,328.46,0,2.09,7n,CCc1ccc(CCN(C)C2CCN(c3nc(N)n[nH]3)CC2)cc1,IC50,'=',970,nM,6.01,,,UO_0000065,18.31,0.34,3.92,8.12,False,CHEMBL4022939,"Inhibition of human recombinant full length C-terminal His-tagged acidic mammalian chitinase expressed in CHO-K1 cells using 4-methylumbelliferyl-beta-D-N,N'-diacetylchitobioside hydrate as substrate after 60 mins by fluorescence assay",B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,CHEMBL1293197,Acidic mammalian chitinase,Homo sapiens,SINGLE PROTEIN,CHEMBL4020821,1,Scientific Literature,J Med Chem,2018,None
CHEMBL4081105,,0,314.44,0,1.84,7m,Cc1ccc(CCN(C)C2CCN(c3nc(N)n[nH]3)CC2)cc1,IC50,'=',1111,nM,5.95,,,UO_0000065,18.94,0.35,4.11,8.04,False,CHEMBL4022939,"Inhibition of human recombinant full length C-terminal His-tagged acidic mammalian chitinase expressed in CHO-K1 cells using 4-methylumbelliferyl-beta-D-N,N'-diacetylchitobioside hydrate as substrate after 60 mins by fluorescence assay",B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,CHEMBL1293197,Acidic mammalian chitinase,Homo sapiens,SINGLE PROTEIN,CHEMBL4020821,1,Scientific Literature,J Med Chem,2018,None
CHEMBL4068944,,0,421.39,0,3.32,7g,CC(C)CN(CCc1ccc(Br)cc1)C1CCN(c2nc(N)n[nH]2)CC1,IC50,'=',8.7,nM,8.06,,,UO_0000065,19.13,0.42,4.74,10.88,False,CHEMBL4022939,"Inhibition of human recombinant full length C-terminal His-tagged acidic mammalian chitinase expressed in CHO-K1 cells using 4-methylumbelliferyl-beta-D-N,N'-diacetylchitobioside hydrate as substrate after 60 mins by fluorescence assay",B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,CHEMBL1293197,Acidic mammalian chitinase,Homo sapiens,SINGLE PROTEIN,CHEMBL4020821,1,Scientific Literature,J Med Chem,2018,None
CHEMBL4084148,,0,369.3,0,2.84,7s,CN(CCc1ccc(Cl)cc1Cl)C1CCN(c2nc(N)n[nH]2)CC1,IC50,'=',2025,nM,5.69,,,UO_0000065,15.42,0.32,2.85,7.69,False,CHEMBL4022939,"Inhibition of human recombinant full length C-terminal His-tagged acidic mammalian chitinase expressed in CHO-K1 cells using 4-methylumbelliferyl-beta-D-N,N'-diacetylchitobioside hydrate as substrate after 60 mins by fluorescence assay",B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,CHEMBL1293197,Acidic mammalian chitinase,Homo sapiens,SINGLE PROTEIN,CHEMBL4020821,1,Scientific Literature,J Med Chem,2018,None
CHEMBL1230997,ALLOSAMIDIN,0,622.63,3,-6.05,Allosamidin,CC(=O)N[C@H]1[C@H](O[C@H]2[C@@H](O)[C@@H](NC(C)=O)[C@H](O[C@@H]3[C@@H](CO)[C@@H]4OC(N(C)C)=N[C@@H]4[C@H]3O)O[C@@H]2CO)O[C@H](CO)[C@@H](O)[C@H]1O,IC50,'=',40,nM,7.4,,,UO_0000065,11.88,0.23,13.45,2.83,False,CHEMBL1291258,Inhibition of human chitinase,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL1293197,Acidic mammalian chitinase,Homo sapiens,SINGLE PROTEIN,CHEMBL1287749,1,Scientific Literature,Bioorg. Med. Chem.,2010,None
CHEMBL4075848,,0,362.91,0,2.96,7e,CC(C)N(CCc1ccc(Cl)cc1)C1CCN(c2nc(N)n[nH]2)CC1,IC50,'=',134,nM,6.87,,,UO_0000065,18.94,0.38,3.91,9.28,False,CHEMBL4022939,"Inhibition of human recombinant full length C-terminal His-tagged acidic mammalian chitinase expressed in CHO-K1 cells using 4-methylumbelliferyl-beta-D-N,N'-diacetylchitobioside hydrate as substrate after 60 mins by fluorescence assay",B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,CHEMBL1293197,Acidic mammalian chitinase,Homo sapiens,SINGLE PROTEIN,CHEMBL4020821,1,Scientific Literature,J Med Chem,2018,None
CHEMBL4077644,,0,445.4,0,4.41,7j,Nc1n[nH]c(N2CCC(N(CCc3ccc(Cl)cc3)Cc3ccccc3Cl)CC2)n1,IC50,'=',3.5,nM,8.46,,,UO_0000065,18.99,0.38,4.05,11.42,False,CHEMBL4022939,"Inhibition of human recombinant full length C-terminal His-tagged acidic mammalian chitinase expressed in CHO-K1 cells using 4-methylumbelliferyl-beta-D-N,N'-diacetylchitobioside hydrate as substrate after 60 mins by fluorescence assay",B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,CHEMBL1293197,Acidic mammalian chitinase,Homo sapiens,SINGLE PROTEIN,CHEMBL4020821,1,Scientific Literature,J Med Chem,2018,None
CHEMBL1215473,,0,367.25,0,1.35,1,Nc1n[nH]c(N2CCN(CCOc3ccc(Br)cc3)CC2)n1,IC50,'=',5450,nM,5.26,,,UO_0000065,14.33,0.33,3.91,6.32,False,CHEMBL4022939,"Inhibition of human recombinant full length C-terminal His-tagged acidic mammalian chitinase expressed in CHO-K1 cells using 4-methylumbelliferyl-beta-D-N,N'-diacetylchitobioside hydrate as substrate after 60 mins by fluorescence assay",B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,CHEMBL1293197,Acidic mammalian chitinase,Homo sapiens,SINGLE PROTEIN,CHEMBL4020821,1,Scientific Literature,J Med Chem,2018,None
CHEMBL197199,ARGIFIN,0,675.7,2,-2.79,1,CNC(=O)NC(=N)NCCC[C@@H]1NC(=O)[C@@H](C)NC(=O)C[C@@H](C(=O)O)NC(=O)C[C@@H](C(=O)O)NC(=O)[C@H](Cc2ccccc2)N(C)C1=O,IC50,'=',4500,nM,5.35,,,UO_0000065,7.91,0.15,8.14,1.85,False,CHEMBL1041581,Inhibition of human acidic mammalian chitinase,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL1293197,Acidic mammalian chitinase,Homo sapiens,SINGLE PROTEIN,CHEMBL1152536,1,Scientific Literature,Bioorg. Med. Chem.,2009,None
CHEMBL4077482,,0,410.95,0,3.75,7i,Nc1n[nH]c(N2CCC(N(CCc3ccc(Cl)cc3)Cc3ccccc3)CC2)n1,IC50,'=',5.4,nM,8.27,,,UO_0000065,20.12,0.39,4.52,11.16,False,CHEMBL4022939,"Inhibition of human recombinant full length C-terminal His-tagged acidic mammalian chitinase expressed in CHO-K1 cells using 4-methylumbelliferyl-beta-D-N,N'-diacetylchitobioside hydrate as substrate after 60 mins by fluorescence assay",B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,CHEMBL1293197,Acidic mammalian chitinase,Homo sapiens,SINGLE PROTEIN,CHEMBL4020821,1,Scientific Literature,J Med Chem,2018,None
CHEMBL4086986,,0,379.31,0,2.29,7a,CN(CCc1ccc(Br)cc1)C1CCN(c2nc(N)n[nH]2)CC1,IC50,'=',348,nM,6.46,,,UO_0000065,17.03,0.38,4.17,8.72,False,CHEMBL4022939,"Inhibition of human recombinant full length C-terminal His-tagged acidic mammalian chitinase expressed in CHO-K1 cells using 4-methylumbelliferyl-beta-D-N,N'-diacetylchitobioside hydrate as substrate after 60 mins by fluorescence assay",B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,CHEMBL1293197,Acidic mammalian chitinase,Homo sapiens,SINGLE PROTEIN,CHEMBL4020821,1,Scientific Literature,J Med Chem,2018,None
CHEMBL4098997,,0,393.33,0,2.68,7d,CCN(CCc1ccc(Br)cc1)C1CCN(c2nc(N)n[nH]2)CC1,IC50,'=',73,nM,7.14,,,UO_0000065,18.14,0.41,4.46,9.64,False,CHEMBL4022939,"Inhibition of human recombinant full length C-terminal His-tagged acidic mammalian chitinase expressed in CHO-K1 cells using 4-methylumbelliferyl-beta-D-N,N'-diacetylchitobioside hydrate as substrate after 60 mins by fluorescence assay",B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,CHEMBL1293197,Acidic mammalian chitinase,Homo sapiens,SINGLE PROTEIN,CHEMBL4020821,1,Scientific Literature,J Med Chem,2018,None
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Cc1[nH]c2ccccc2c1CN1CCN(c2ccccn2)CC1,CHEMBL1215474,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Nc1n[nH]c(N2CCN(CCOc3ccc(Br)cc3)CC2)n1,CHEMBL1215473,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,CN(CCc1ccc(C2CC2)cc1)C1CCN(c2nc(N)n[nH]2)CC1,CHEMBL4091907,1545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,CN(C)c1ccc(/C=C(\NC(=O)c2ccccc2)C(=O)NNC(N)=S)cc1,CHEMBL2413400,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Nc1n[nH]c(N2CCC(N(CCc3ccc(Cl)cc3)CC3CCCCC3)CC2)n1,CHEMBL4082060,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,CN(CCc1ccc(Cl)cc1)C1CCN(c2nc(N)n[nH]2)CC1,CHEMBL4065553,660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,CC(C)c1ccc(CCN(C)C2CCN(c3nc(N)n[nH]3)CC2)cc1,CHEMBL4071081,4137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,CC(C)CN(CCc1ccc(Cl)cc1)C1CCN(c2nc(N)n[nH]2)CC1,CHEMBL4076989,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,CCN(CCc1ccc(Cl)cc1)C1CCN(c2nc(N)n[nH]2)CC1,CHEMBL4072036,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Nc1n[nH]c(N2CCC(N(CCc3ccc(Cl)cc3)Cc3cccc4ccccc34)CC2)n1,CHEMBL4084573,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,CCc1ccc(CCN(C)C2CCN(c3nc(N)n[nH]3)CC2)cc1,CHEMBL4103842,970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Cc1ccc(CCN(C)C2CCN(c3nc(N)n[nH]3)CC2)cc1,CHEMBL4081105,1111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,CC(C)CN(CCc1ccc(Br)cc1)C1CCN(c2nc(N)n[nH]2)CC1,CHEMBL4068944,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,CN(CCc1ccc(Cl)cc1Cl)C1CCN(c2nc(N)n[nH]2)CC1,CHEMBL4084148,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,CC(=O)N[C@H]1[C@H](O[C@H]2[C@@H](O)[C@@H](NC(C)=O)[C@H](O[C@@H]3[C@@H](CO)[C@@H]4OC(N(C)C)=N[C@@H]4[C@H]3O)O[C@@H]2CO)O[C@H](CO)[C@@H](O)[C@H]1O,CHEMBL1230997,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,CC(C)N(CCc1ccc(Cl)cc1)C1CCN(c2nc(N)n[nH]2)CC1,CHEMBL4075848,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Nc1n[nH]c(N2CCC(N(CCc3ccc(Cl)cc3)Cc3ccccc3Cl)CC2)n1,CHEMBL4077644,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Nc1n[nH]c(N2CCN(CCOc3ccc(Br)cc3)CC2)n1,CHEMBL1215473,5450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,CNC(=O)NC(=N)NCCC[C@@H]1NC(=O)[C@@H](C)NC(=O)C[C@@H](C(=O)O)NC(=O)C[C@@H](C(=O)O)NC(=O)[C@H](Cc2ccccc2)N(C)C1=O,CHEMBL197199,4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Nc1n[nH]c(N2CCC(N(CCc3ccc(Cl)cc3)Cc3ccccc3)CC2)n1,CHEMBL4077482,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,CN(CCc1ccc(Br)cc1)C1CCN(c2nc(N)n[nH]2)CC1,CHEMBL4086986,348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,CCN(CCc1ccc(Br)cc1)C1CCN(c2nc(N)n[nH]2)CC1,CHEMBL4098997,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
